Date,Open,High,Low,Close,Volume
2023-06-23,120.39,121.78,120.07,121.34,34913600
2023-06-26,119.77,121.0,117.3,117.37,33969900
2023-06-27,116.12,118.1,115.15,117.36,39535900
2023-06-28,116.13,119.4,115.89,119.19,27091400
2023-06-29,118.26,119.08,117.33,118.12,24090900
2023-06-30,119.18,120.09,118.71,118.72,29532200
2023-07-03,118.26,119.2,117.85,118.92,14467900
2023-07-05,118.26,121.6,118.25,120.75,27584800
2023-07-06,118.82,119.31,117.43,119.13,24745200
2023-07-07,119.12,120.06,118.42,118.5,21709500
2023-07-10,117.33,117.34,115.19,115.5,35315200
2023-07-11,115.34,116.75,114.4,116.18,23078800
2023-07-12,117.83,119.34,117.44,117.96,30404400
2023-07-13,119.94,123.81,119.46,123.52,44297900
2023-07-14,123.78,125.74,122.48,124.39,33283100
2023-07-17,124.91,126.06,123.18,123.63,25716200
2023-07-18,123.58,123.66,121.95,122.75,26193600
2023-07-19,123.58,124.15,120.8,121.03,37224000
2023-07-20,120.42,123.07,117.25,118.22,37906800
2023-07-21,119.63,120.0,117.76,119.04,72937900
2023-07-24,120.66,121.99,119.99,120.53,29686100
2023-07-25,120.37,122.14,120.03,121.21,52509600
2023-07-26,129.0,129.91,127.27,128.21,61682100
2023-07-27,130.59,132.15,127.73,128.34,44952100
2023-07-28,129.71,132.64,129.5,131.49,36591200
2023-07-31,131.64,132.44,130.7,131.63,28055500
2023-08-01,129.71,131.54,129.61,130.47,23166800
2023-08-02,128.39,129.02,126.51,127.33,26273300
2023-08-03,126.92,128.33,126.38,127.4,20089500
2023-08-04,128.22,130.43,126.86,127.06,26147200
2023-08-07,128.1,130.53,127.96,130.45,22746300
2023-08-08,129.55,130.43,128.48,130.32,23535200
2023-08-09,130.58,130.96,127.94,128.6,24912900
2023-08-10,130.24,130.97,128.39,128.63,20857800
2023-08-11,127.61,128.86,127.12,128.5,19591100
2023-08-14,128.33,130.29,127.9,130.25,24695600
2023-08-15,130.03,130.34,128.22,128.72,19770700
2023-08-16,127.65,129.21,126.82,127.65,25216100
2023-08-17,128.74,130.91,128.23,128.86,33446300
2023-08-18,127.46,128.19,125.34,126.42,30504800
2023-08-21,126.14,127.67,125.52,127.32,25248700
2023-08-22,127.46,129.21,127.27,128.02,22054900
2023-08-23,129.11,132.32,128.81,131.28,27819700
2023-08-24,132.85,133.15,128.51,128.72,28500700
2023-08-25,128.48,129.69,126.21,128.82,26762900
2023-08-28,130.23,131.45,129.07,129.94,20543300
2023-08-29,131.16,135.45,131.16,133.47,43075600
2023-08-30,133.68,135.16,132.97,134.77,28315800
2023-08-31,134.9,136.87,134.68,135.05,30053800
2023-09-01,136.33,136.33,133.74,134.55,21543700
2023-09-05,134.33,135.3,133.48,134.66,19403100
2023-09-06,134.91,135.41,132.57,133.36,18684500
2023-09-07,132.49,134.47,131.86,134.15,18844300
2023-09-08,133.8,135.54,133.74,135.26,23558300
2023-09-11,135.42,136.35,134.68,135.8,20763400
2023-09-12,135.14,135.75,134.08,134.23,18405500
