Date,Open,High,Low,Close,Volume
2023-08-02,1241.0,1242.38,1218.45,1229.7,12748214
2023-08-03,1224.23,1236.89,1215.7,1224.53,10168350
2023-08-04,1235.86,1244.36,1222.4,1241.17,22885610
2023-08-07,1246.83,1250.49,1238.92,1248.24,5982870
2023-08-08,1250.3,1253.49,1236.23,1240.73,9844072
2023-08-09,1238.85,1250.79,1227.1,1248.91,11486586
2023-08-10,1248.79,1261.18,1240.63,1254.48,15470598
2023-08-11,1252.5,1265.55,1242.56,1259.77,22179330
2023-08-14,1255.74,1277.15,1248.81,1274.65,9575812
2023-08-16,1261.67,1277.4,1261.67,1273.62,10203112
2023-08-17,1269.63,1275.08,1252.7,1255.24,13673744
2023-08-18,1251.9,1274.83,1240.68,1264.54,18639978
2023-08-21,1260.64,1268.34,1248.58,1250.74,9221746
2023-08-22,1249.2,1259.65,1240.32,1250.44,7713044
2023-08-23,1252.83,1262.08,1249.23,1251.83,9517952
2023-08-24,1260.62,1260.62,1226.42,1230.79,14140020
2023-08-25,1218.98,1243.3,1212.33,1225.11,22222400
2023-08-28,1226.92,1232.87,1206.62,1212.9,12580826
2023-08-29,1217.02,1217.71,1195.23,1201.28,16876644
2023-08-30,1207.07,1212.53,1198.63,1200.14,12168946
2023-08-31,1202.6,1203.59,1191.13,1194.66,21638600
2023-09-01,1194.43,1203.91,1192.0,1197.46,18112842
2023-09-04,1197.46,1202.92,1193.81,1196.49,9347626
2023-09-05,1201.11,1208.03,1197.36,1202.9,8675876
2023-09-06,1201.66,1209.13,1199.75,1205.43,8200370
2023-09-07,1201.95,1210.17,1196.64,1207.07,13652572
2023-09-08,1211.04,1218.98,1202.57,1215.11,23109288
2023-09-11,1216.99,1229.33,1216.99,1228.21,13271074
2023-09-12,1232.38,1232.38,1209.03,1210.47,16255666
2023-09-13,1211.04,1222.28,1204.21,1216.52,12803338
2023-09-14,1220.96,1223.84,1213.52,1217.64,9209636
2023-09-15,1224.93,1224.93,1215.75,1219.9,25468592
2023-09-18,1211.06,1216.5,1207.09,1209.27,7516300
2023-09-20,1202.62,1204.88,1168.85,1182.32,57081884
2023-09-21,1178.75,1186.27,1171.33,1173.71,12226182
2023-09-22,1179.27,1182.47,1166.37,1168.82,19176786
2023-09-25,1166.57,1171.68,1158.97,1161.63,14254884
2023-09-26,1160.68,1166.47,1159.22,1162.64,10087782
2023-09-27,1163.14,1177.19,1160.66,1175.75,11722778
2023-09-28,1182.75,1182.75,1153.96,1158.48,14518346
2023-09-29,1162.3,1175.85,1158.48,1163.89,12342014
2023-10-03,1156.42,1159.22,1149.49,1150.56,8859056
2023-10-04,1146.02,1150.98,1139.12,1148.57,10286386
2023-10-05,1151.11,1156.14,1146.02,1148.55,10953682
2023-10-06,1150.01,1153.86,1147.53,1150.48,5431026
2023-10-09,1145.57,1147.48,1139.07,1140.68,7576878
2023-10-10,1144.8,1150.44,1143.41,1145.72,10236032
2023-10-11,1148.72,1166.22,1148.0,1163.91,9814118
2023-10-12,1163.31,1171.01,1160.49,1166.07,12554450
2023-10-13,1161.4,1170.09,1156.02,1166.02,10150316
2023-10-16,1163.89,1168.63,1159.42,1163.41,5929036
2023-10-17,1169.35,1171.18,1162.05,1168.97,7928180
2023-10-18,1168.97,1174.8,1151.97,1153.46,8918320
2023-10-19,1147.51,1152.37,1142.05,1144.6,12032556
2023-10-20,1141.55,1148.85,1139.71,1141.1,8913312
2023-10-23,1136.59,1144.65,1119.34,1123.29,7853962
2023-10-25,1116.76,1132.22,1113.26,1120.68,11620688
2023-10-26,1117.23,1120.71,1101.99,1105.07,15222534
2023-10-27,1111.77,1128.4,1109.76,1124.58,11771084
2023-10-30,1128.65,1153.96,1126.64,1147.76,16813304
2023-10-31,1155.45,1155.45,1133.06,1135.55,12808438
2023-11-01,1136.17,1150.24,1129.24,1140.26,10309190
2023-11-02,1148.47,1153.61,1145.5,1151.58,10562104
2023-11-03,1155.05,1158.9,1149.37,1151.33,8850156
2023-11-06,1157.58,1161.4,1154.26,1160.91,10647304
2023-11-07,1158.45,1160.96,1151.25,1153.36,6960204
2023-11-08,1157.43,1161.9,1152.35,1159.37,7884494
2023-11-09,1159.34,1159.37,1143.64,1146.79,14513610
2023-11-10,1144.31,1149.67,1140.58,1148.95,7734954
2023-11-13,1152.92,1153.76,1147.36,1148.8,3854810
2023-11-15,1161.4,1172.3,1154.95,1169.57,12220648
2023-11-16,1166.91,1178.35,1164.85,1171.68,13134910
2023-11-17,1167.81,1177.91,1167.38,1169.12,7758634
2023-11-20,1165.65,1170.54,1159.62,1166.04,4490186
2023-11-21,1174.31,1185.23,1171.43,1180.71,8214450
2023-11-22,1178.78,1188.43,1177.39,1185.33,8534814
2023-11-23,1185.33,1191.18,1185.33,1188.95,8531542
2023-11-24,1187.01,1192.47,1186.74,1188.16,6749486
2023-11-28,1188.16,1191.03,1178.9,1188.4,13792174
2023-11-29,1195.15,1197.11,1190.22,1191.53,12531306
2023-11-30,1188.55,1191.53,1176.24,1179.99,28439984
2023-12-01,1180.26,1189.4,1180.07,1188.35,14342842
2023-12-04,1216.0,1216.0,1190.49,1201.21,15590990
2023-12-05,1210.54,1211.46,1201.93,1209.92,12693624
2023-12-06,1214.56,1227.39,1208.55,1221.51,16422442
2023-12-07,1220.96,1221.43,1212.03,1219.5,8142096
2023-12-08,1222.87,1229.25,1213.52,1218.85,10204894
2023-12-11,1218.98,1224.74,1217.19,1220.64,7066138
2023-12-12,1220.96,1223.42,1201.18,1203.12,9197124
2023-12-13,1202.1,1210.22,1194.31,1208.03,10031182
2023-12-14,1217.99,1228.38,1212.35,1223.02,16972354
2023-12-15,1229.9,1240.82,1225.95,1238.63,15932152
2023-12-18,1238.63,1258.14,1236.32,1251.24,14165188
2023-12-19,1268.11,1277.49,1253.32,1269.65,16820604
2023-12-20,1276.08,1289.88,1250.74,1254.29,17736722
2023-12-21,1254.22,1277.3,1249.87,1271.86,13765454
2023-12-22,1270.4,1280.97,1264.47,1273.1,16541784
2023-12-26,1274.57,1286.45,1271.94,1279.55,7465664
2023-12-27,1281.52,1290.4,1277.1,1283.92,9204156
2023-12-28,1285.39,1296.4,1283.92,1293.2,12302636
2023-12-29,1295.96,1297.4,1280.17,1282.98,10864584
2024-01-01,1280.8,1293.85,1277.12,1285.61,4030540
2024-01-02,1283.0,1297.89,1277.05,1296.26,7448800
2024-01-03,1295.41,1307.32,1279.13,1282.16,9037536
2024-01-04,1284.49,1295.34,1280.08,1288.79,9612778
2024-01-05,1291.89,1300.3,1289.46,1294.27,8086406
2024-01-08,1295.41,1306.31,1275.04,1284.17,7734652
2024-01-09,1290.45,1293.82,1279.13,1280.77,5403074
2024-01-10,1279.03,1319.73,1278.07,1315.31,11102740
2024-01-11,1319.73,1352.49,1318.74,1349.91,23725852
2024-01-12,1349.91,1363.24,1335.86,1360.65,15012164
2024-01-15,1364.9,1386.19,1355.96,1383.88,8610594
2024-01-16,1379.76,1386.04,1360.43,1364.53,9069024
2024-01-17,1349.51,1376.09,1345.07,1351.57,12197382
2024-01-18,1341.47,1360.93,1341.32,1357.9,10279438
2024-01-19,1365.89,1365.89,1349.02,1357.4,10422704
2024-01-23,1361.67,1361.67,1312.83,1318.81,20055420
2024-01-24,1325.41,1339.59,1314.2,1334.0,21919128
2024-01-25,1333.08,1354.13,1325.39,1343.13,11808872
2024-01-29,1354.47,1441.83,1350.18,1437.41,23893438
2024-01-30,1449.22,1449.25,1394.11,1397.28,14093978
2024-01-31,1393.68,1423.71,1392.2,1416.14,15130226
2024-02-01,1424.46,1432.75,1407.63,1416.17,13349362
2024-02-02,1422.65,1464.06,1422.65,1446.99,19652588
2024-02-05,1450.02,1459.7,1421.01,1428.45,8814432
2024-02-06,1431.26,1431.26,1409.39,1417.31,9047984
2024-02-07,1425.38,1438.85,1418.75,1431.55,9296568
2024-02-08,1439.35,1448.75,1417.04,1439.47,14694634
2024-02-09,1443.32,1461.16,1440.29,1450.02,12556798
2024-02-12,1450.02,1450.27,1431.75,1441.68,6674430
2024-02-13,1444.81,1468.13,1443.32,1454.34,7715594
2024-02-14,1446.79,1472.75,1446.79,1470.49,7117888
2024-02-15,1472.45,1473.82,1455.75,1459.8,10006782
2024-02-16,1465.63,1466.15,1447.83,1449.84,9767498
2024-02-19,1451.31,1468.63,1442.85,1463.17,6729828
2024-02-20,1464.19,1464.66,1451.06,1460.22,7117496
2024-02-21,1463.17,1477.59,1446.84,1456.92,12720292
2024-02-22,1457.36,1474.04,1447.29,1470.86,18493728
2024-02-23,1478.56,1486.55,1472.45,1482.65,14438584
2024-02-26,1482.58,1483.54,1471.61,1476.4,7513106
2024-02-27,1472.13,1488.93,1467.19,1474.73,10826044
2024-02-28,1472.1,1480.32,1439.52,1444.93,8647950
2024-02-29,1454.24,1468.11,1443.84,1450.07,23628976
2024-03-01,1452.75,1488.98,1451.75,1481.16,12132926
2024-03-04,1479.52,1501.34,1476.3,1496.33,10024420
2024-03-05,1494.71,1496.33,1475.13,1489.18,7107668
2024-03-06,1482.48,1497.91,1467.64,1491.96,7805676
2024-03-07,1491.93,1492.06,1464.71,1468.06,8315726
2024-03-11,1478.06,1478.06,1452.75,1455.82,11277130
2024-03-12,1455.82,1477.07,1454.26,1464.59,9432678
2024-03-13,1468.9,1472.2,1417.29,1421.65,13522134
2024-03-14,1429.12,1437.88,1415.03,1420.96,18571102
2024-03-15,1415.47,1422.69,1402.52,1407.81,19223818
2024-03-18,1409.57,1431.13,1406.12,1428.9,9169392
2024-03-19,1418.25,1427.04,1406.84,1414.78,8275764
2024-03-20,1417.46,1434.38,1413.56,1433.14,8488806
2024-03-21,1441.85,1447.19,1434.06,1440.31,13006936
2024-03-22,1439.32,1449.27,1436.72,1444.33,19527608
2024-03-26,1434.38,1441.73,1428.43,1430.98,11415906
2024-03-27,1437.36,1488.98,1436.37,1481.88,16326644
2024-03-28,1481.91,1494.89,1467.79,1474.93,21854364
2024-04-01,1481.51,1483.0,1471.61,1473.87,5013880
2024-04-02,1473.1,1483.02,1464.16,1476.03,8910166
2024-04-03,1471.19,1473.54,1458.11,1460.79,7008292
2024-04-04,1468.88,1468.88,1439.35,1452.18,14490272
2024-04-05,1450.14,1459.99,1445.3,1449.37,7442298
2024-04-08,1452.23,1480.02,1450.27,1475.06,8357118
2024-04-09,1478.06,1478.85,1451.75,1452.9,7071414
2024-04-10,1455.58,1476.07,1455.58,1468.7,9138330
2024-04-12,1465.03,1475.55,1452.33,1456.37,15551012
2024-04-15,1450.27,1471.24,1435.7,1454.06,12902062
